1,Francolinus swainsonii,Goldenrod,3529881335732987,2018-03-16,12f071d3fbcf9986664986a00dde2f0cfc18d781
1,Ictonyx striatus,Red,4405119162086285,2018-01-01,12f071d3fbcf9986664986a00dde2f0cfc18d781
0,Coendou prehensilis,Khaki,6759772476457845,2017-12-17,12f071d3fbcf9986664986a00dde2f0cfc18d781
1,REPLACE ME,Puce,6378249827048483,2017-10-29,12f071d3fbcf9986664986a00dde2f0cfc18d781
1,Alligator mississippiensis,Goldenrod,490354550063877145,2018-04-16,12f071d3fbcf9986664986a00dde2f0cfc18d781
1,Cyrtodactylus louisiadensis,Maroon,5602228688750171,2018-04-02,12f071d3fbcf9986664986a00dde2f0cfc18d781
0,Coluber constrictor,Violet,201795332204710,2018-06-26,12f071d3fbcf9986664986a00dde2f0cfc18d781
0,Paroaria gularis,Pink,5100177006423572,REPLACE ME,12f071d3fbcf9986664986a00dde2f0cfc18d781
1,Varanus sp.,Aquamarine,676700264700391958,2018-05-25,12f071d3fbcf9986664986a00dde2f0cfc18d781
REPLACE ME,Suricata suricatta,Mauv,374288762138641,2018-01-02,12f071d3fbcf9986664986a00dde2f0cfc18d781
